name,state,alias
Africatown,AL,
Akron,AL,
Aliceville,AL,
Athens,AL,Luke St Community
Beatrice,AL,
Bellamy,AL,
Blackville,AL,
Boligee,AL,
Boykin,AL,Gees Bend
Brighton,AL,
Brundidge,AL,
Camp Hill,AL,
Carlton,AL,
Catherine,AL,
Clarke,AL,
Colony,AL,
Elba,AL,Shiloh Community; Bullard Center
Epes,AL,
Eutaw,AL,
Forkland,AL,
Goodwater,AL,
Gordon,AL,
Gordonville,AL,
Hayneville,AL,
Hobson City,AL,
Lisman,AL,
Macedonia,AL,
McMullen,AL,
Memphis,AL,
Midway,AL,
Mosses,AL,
Movico,AL,
North Courtland,AL,
Oak Hill,AL,
Panola,AL,
Putnam,AL,
Selmont,AL,
Shorter,AL,
Strain Road,AL,
Tuskegee,AL,
Union,AL,
Union Grove,AL,
Uniontown,AL,
Vrendenburg,AL,
White Hall,AL,
Yellow Bluff,AL,
York,AL,
Allport,AR,
Altheimer,AR,
Anthonyville,AR,
Augusta,AR,
Bearden,AR,
Birdsong,AR,
Bluff City,AR,
Bradley,AR,
Brinkley,AR,
Buckner,AR,
Calion,AR,
Chidester,AR,
College Station,AR,
Cotton Plant,AR,
Dermott,AR,
Earle,AR,
Edmondson,AR,
Elaine,AR,
Emmanuel,AR,
Eudora,AR,
Fargo,AR,
Fountain Hill,AR,
Fredonia,AR,
Fulton,AR,
Garland,AR,Garland City
Gilmore,AR,
Gould,AR,
Grady,AR,
Gum Springs,AR,
Harrell,AR,
Haynes,AR,
Holly Grove,AR,
Hughes,AR,
Humphrey,AR,
Huttig,AR,
Jeanette,AR,
Jericho,AR,
Joiner,AR,
Junction City,AR,
Lake View,AR,
Lake Village,AR,
Lewisville,AR,
Luxora,AR,
Madison,AR,
Marianna,AR,
Marvell,AR,
McAlmont,AR,
McNeil,AR,
Menifee,AR,
Mineral Springs,AR,
Mitchellville,AR,
Montrose,AR,
Osceola,AR,
Ozan,AR,
Parkdale,AR,
Parkin,AR,
Perla,AR,
Portland,AR,
Prescott,AR,
Reed,AR,
Rison,AR,
Rondo,AR,
Rosston,AR,
Sherill,AR,
Stamps,AR,
Stephens,AR,
Strong,AR,
Sunset,AR,
Sweet Home,AR,
Tollette,AR,
Turrell,AR,
Twin Groves,AR,
Wabbaseka,AR,
Waldo,AR,
Washington,AR,
Widener,AR,
Wilmar,AR,
Wilmot,AR,
Winchester,AR,
Woodson,AR,
Wrightsville,AR,
Randolph,AZ,
Allensworth,CA,
Blue Hills,CT,Hartford AND Bloomfield
Poquonock Bridge,CT,
Belltown,DE,
Blades,DE,
Charley Town,DE,
Delmar,DE,
Ellendale,DE,
Frankford,DE,
Greenwood,DE,
Harrington,DE,
Laurel,DE,
Magnolia,DE,
Polktown,DE,
Seaford,DE,
Star Hill,DE,
Archer,FL,
Eatonville,FL,
Fort Mose,FL,
Negro Fort,FL,
Abbeville,GA,
Alamo,GA,
Arlington,GA,
Baconton,GA,
Bonanza,GA,
Boston,GA,
Brinson,GA,
Bronwood,GA,
Chester,GA,
DeSoto,GA,
Donalsonville,GA,
Du Pont,GA,
East Dublin,GA,
Edison,GA,
Greenville,GA,
Hardwick,GA,
Harrison,GA,
Hiltonia,GA,
Jeffersonville,GA,
Junction City,GA,
Keysville,GA,
Louisville,GA,
Lumber City,GA,
Marshallville,GA,
McIntyre,GA,
Meigs,GA,
Millen,GA,
Ocilla,GA,
Oglethorpe,GA,
Oliver,GA,
Payne,GA,
Quitman,GA,
Siolam,GA,
Soperton,GA,
Sylvester,GA,
Tennille,GA,
Toomsboro,GA,
Vienna,GA,
Warrenton,GA,
Buxton,IA,
Davenport,IA,
Des Moines,IA,
Waterloo,IA,
Brooklyn,IL,
Brooklyn or Lovejoy,IL,
Cahokia Heights,IL,
Cairo,IL,
Carrier Mills,IL,
Duplicate of Brooklyn,IL,
Ina,IL,
Lakeview,IL,
Mound City,IL,
Mounds,IL,
Mounds City,IL,
Pembroke Township,IL,
Penbroke Township,IL,
Pheniox,IL,
Phoenix,IL,
Pulaski,IL,
Robbins,IL,
Sun River Terrace,IL,
Tamms,IL,
Thebes,IL,
Venice,IL,
Dubois,IN,
Lyles Station,IN,
McClellan Township,IN,
Pea Ridge,IN,
Princeton,IN,
Princetown,IN,
Speedway,IN,
Spring Hill,IN,
Spring Hills,IN,
Taylorsville,IN,
Westville,IN,
Wynndale,IN,
Wynnedale,IN,
Boydtown,KY,
Clabberbottom,KY,
Clintonville,KY,
Fayette County,KY,Maddoxtown
Maddoxton,KY,
New Zion,KY,
Newburg,KY,
Pea Ridge,KY,
Poplar Hills,KY,
West Buechel,KY,
Amite City,LA,
Arcadia,LA,
Athens,LA,
Baldwin,LA,
Bayou Goula,LA,
Belle Rose,LA,
Benton,LA,
Bernice,LA,
Bobtown,LA,
Campti,LA,
Chatham,LA,
Clarence,LA,
Cotton Valley,LA,
Coushatta,LA,
Cullen,LA,
Dixie Inn,LA,
Dorseyville,LA,
East Hodge,LA,
Farmerville,LA,
Garyville,LA,
Gibsland,LA,
Gilliam,LA,
Glencoe,LA,
Haynesville,LA,
Homer,LA,
Independence,LA,
Ironton,LA,
Junction City,LA,
Kentwood,LA,
Killona,LA,
Lemannville,LA,
Lucky,LA,
Many,LA,
Maringouin,LA,
Marion,LA,
Moonshine,LA,
Napoleanville,LA,
Natchez,LA,
Oil City,LA,
Parks,LA,
Plain Dealings,LA,
Pointe a la Hache,LA,
Powhatan,LA,
Ringgold,LA,
Romeville,LA,
Roseland,LA,
Saint Maurice,LA,
Scotlandville,LA,
Siracusaville,LA,
South Mansfield,LA,
Supreme,LA,
Tangipahoa,LA,
Vienna Bend,LA,
White Castle,LA,
Zwolle,LA,
Chatham,MA,
Devens,MA,
Allen,MD,
Bacontown,MD,
Chapel Hill,MD,
Delmar,MD,
Eden Md,MD,
Fairmont Heights,MD,
Federalsburg,MD,
Lincoln Park,MD,
Parsonsburg,MD,
Pocomoke City,MD,
Rossville,MD,
Trapp,MD,
Trappe,MD,
Unionville,MD,
Chatham,ME,
Devens,ME,
Albion,MI,
Baldwin,MI,
Baraga,MI,
Benton Heights,MI,
Bridgeport,MI,
Buena Vista,MI,
Calvin Township,MI,
Cassopolis,MI,
Eastwood,MI,
Edgewood Park,MI,
Fair Plain,MI,
Lathrup Village,MI,
Mackinac Island,MI,
